Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O00267	SPT5H_HUMAN	reviewed	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	Homo sapiens (Human)	1087
Q9BYD3	RM04_HUMAN	reviewed	"39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4)"	MRPL4 CDABP0091 CGI-28	Homo sapiens (Human)	311
Q15393	SF3B3_HUMAN	reviewed	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130)	SF3B3 KIAA0017 SAP130	Homo sapiens (Human)	1217
Q12996	CSTF3_HUMAN	reviewed	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)	CSTF3	Homo sapiens (Human)	717
Q8IY37	DHX37_HUMAN	reviewed	Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37)	DHX37 DDX37 KIAA1517	Homo sapiens (Human)	1157
Q9BQ67	GRWD1_HUMAN	reviewed	Glutamate-rich WD repeat-containing protein 1	GRWD1 GRWD KIAA1942 WDR28	Homo sapiens (Human)	446
Q13347	EIF3I_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)	EIF3I EIF3S2 TRIP1	Homo sapiens (Human)	325
P48553	TPC10_HUMAN	reviewed	Trafficking protein particle complex subunit 10 (Epilepsy holoprosencephaly candidate 1 protein) (EHOC-1) (Protein GT334) (Trafficking protein particle complex subunit TMEM1) (Transport protein particle subunit TMEM1) (TRAPP subunit TMEM1)	TRAPPC10 EHOC1 TMEM1	Homo sapiens (Human)	1259
Q9NVP1	DDX18_HUMAN	reviewed	ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb)	DDX18	Homo sapiens (Human)	670
Q9Y512	SAM50_HUMAN	reviewed	Sorting and assembly machinery component 50 homolog (Transformation-related gene 3 protein) (TRG-3)	SAMM50 SAM50 CGI-51 TRG3	Homo sapiens (Human)	469
Q9UJA5	TRM6_HUMAN	reviewed	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (tRNA(m1A58)-methyltransferase subunit TRM6) (tRNA(m1A58)MTase subunit TRM6)	TRMT6 KIAA1153 TRM6 CGI-09	Homo sapiens (Human)	497
Q96G21	IMP4_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Brix domain-containing protein 4)	IMP4 BXDC4	Homo sapiens (Human)	291
Q9BYG3	MK67I_HUMAN	reviewed	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)	NIFK MKI67IP NOPP34	Homo sapiens (Human)	293
P23396	RS3_HUMAN	reviewed	40S ribosomal protein S3 (EC 4.2.99.18)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243
Q99575	POP1_HUMAN	reviewed	Ribonucleases P/MRP protein subunit POP1 (hPOP1) (EC 3.1.26.5)	POP1 KIAA0061	Homo sapiens (Human)	1024
Q8WV07	ORAV1_HUMAN	reviewed	Oral cancer-overexpressed protein 1 (Tumor-amplified and overexpressed sequence 1)	ORAOV1 TAOS1	Homo sapiens (Human)	137
O43913	ORC5_HUMAN	reviewed	Origin recognition complex subunit 5	ORC5 ORC5L	Homo sapiens (Human)	435
Q07864	DPOE1_HUMAN	reviewed	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (DNA polymerase II subunit A)	POLE POLE1	Homo sapiens (Human)	2286
Q6P3X3	TTC27_HUMAN	reviewed	Tetratricopeptide repeat protein 27 (TPR repeat protein 27)	TTC27	Homo sapiens (Human)	843
Q9ULW3	ABT1_HUMAN	reviewed	Activator of basal transcription 1 (hABT1) (Basal transcriptional activator)	ABT1	Homo sapiens (Human)	272
Q9Y2P8	RCL1_HUMAN	reviewed	RNA 3'-terminal phosphate cyclase-like protein	RCL1 RNAC RPC2 RPCL1 RTC2 HSPC338	Homo sapiens (Human)	373
Q86TN4	TRPT1_HUMAN	reviewed	tRNA 2'-phosphotransferase 1 (EC 2.7.1.160)	TRPT1	Homo sapiens (Human)	253
O43513	MED7_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 7 (hMED7) (Activator-recruited cofactor 34 kDa component) (ARC34) (Cofactor required for Sp1 transcriptional activation subunit 9) (CRSP complex subunit 9) (Mediator complex subunit 7) (RNA polymerase transcriptional regulation mediator subunit 7 homolog) (Transcriptional coactivator CRSP33)	MED7 ARC34 CRSP9	Homo sapiens (Human)	233
Q9BRX5	PSF3_HUMAN	reviewed	DNA replication complex GINS protein PSF3 (GINS complex subunit 3)	GINS3 PSF3	Homo sapiens (Human)	216
Q9BRU9	UTP23_HUMAN	reviewed	rRNA-processing protein UTP23 homolog	UTP23 C8orf53	Homo sapiens (Human)	249
Q9H0D6	XRN2_HUMAN	reviewed	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	XRN2	Homo sapiens (Human)	950
Q9ULX3	NOB1_HUMAN	reviewed	RNA-binding protein NOB1 (Phosphorylation regulatory protein HP-10) (Protein ART-4)	NOB1 ART4 NOB1P PSMD8BP1 MSTP158	Homo sapiens (Human)	412
P61803	DAD1_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (EC 2.4.99.18) (Defender against cell death 1) (DAD-1)	DAD1	Homo sapiens (Human)	113
Q9BRS2	RIOK1_HUMAN	reviewed	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (RIO kinase 1)	RIOK1	Homo sapiens (Human)	568
P52655	TF2AA_HUMAN	reviewed	Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)]	GTF2A1 TF2A1	Homo sapiens (Human)	376
Q9Y3T9	NOC2L_HUMAN	reviewed	Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor)	NOC2L NIR	Homo sapiens (Human)	749
P35251	RFC1_HUMAN	reviewed	Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit)	RFC1 RFC140	Homo sapiens (Human)	1148
Q92989	CLP1_HUMAN	reviewed	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	CLP1 HEAB	Homo sapiens (Human)	425
Q9UGP8	SEC63_HUMAN	reviewed	Translocation protein SEC63 homolog	SEC63 SEC63L	Homo sapiens (Human)	760
O15182	CETN3_HUMAN	reviewed	Centrin-3	CETN3 CEN3	Homo sapiens (Human)	167
Q9NR50	EI2BG_HUMAN	reviewed	Translation initiation factor eIF-2B subunit gamma (eIF-2B GDP-GTP exchange factor subunit gamma)	EIF2B3	Homo sapiens (Human)	452
Q9H9Y4	GPN2_HUMAN	reviewed	GPN-loop GTPase 2 (ATP-binding domain 1 family member B)	GPN2 ATPBD1B UNQ5828/PRO19647	Homo sapiens (Human)	310
Q96EU6	RRP36_HUMAN	reviewed	Ribosomal RNA processing protein 36 homolog	RRP36 C6orf153 HSPC253	Homo sapiens (Human)	259
Q9Y2X3	NOP58_HUMAN	reviewed	Nucleolar protein 58 (Nucleolar protein 5)	NOP58 NOL5 NOP5 HSPC120	Homo sapiens (Human)	529
Q5JTH9	RRP12_HUMAN	reviewed	RRP12-like protein	RRP12 KIAA0690	Homo sapiens (Human)	1297
Q96HI0	SENP5_HUMAN	reviewed	Sentrin-specific protease 5 (EC 3.4.22.68) (Sentrin/SUMO-specific protease SENP5)	SENP5 FKSG45	Homo sapiens (Human)	755
Q3ZCQ8	TIM50_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit TIM50	TIMM50 TIM50 PRO1512	Homo sapiens (Human)	353
O14981	BTAF1_HUMAN	reviewed	TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172)	BTAF1 TAF172	Homo sapiens (Human)	1849
Q7Z6J9	SEN54_HUMAN	reviewed	tRNA-splicing endonuclease subunit Sen54 (SEN54 homolog) (HsSEN54) (tRNA-intron endonuclease Sen54)	TSEN54 SEN54	Homo sapiens (Human)	526
O43660	PLRG1_HUMAN	reviewed	Pleiotropic regulator 1	PLRG1	Homo sapiens (Human)	514
Q14692	BMS1_HUMAN	reviewed	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	BMS1 BMS1L KIAA0187	Homo sapiens (Human)	1282
Q9Y230	RUVB2_HUMAN	reviewed	RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)	RUVBL2 INO80J TIP48 TIP49B CGI-46	Homo sapiens (Human)	463
Q9UHB9	SRP68_HUMAN	reviewed	Signal recognition particle subunit SRP68 (SRP68) (Signal recognition particle 68 kDa protein)	SRP68	Homo sapiens (Human)	627
Q9UHB4	NDOR1_HUMAN	reviewed	NADPH-dependent diflavin oxidoreductase 1 (EC 1.6.-.-) (NADPH-dependent FMN and FAD-containing oxidoreductase) (Novel reductase 1)	NDOR1 NR1	Homo sapiens (Human)	597
Q13889	TF2H3_HUMAN	reviewed	General transcription factor IIH subunit 3 (Basic transcription factor 2 34 kDa subunit) (BTF2 p34) (General transcription factor IIH polypeptide 3) (TFIIH basal transcription factor complex p34 subunit)	GTF2H3	Homo sapiens (Human)	308
Q00403	TF2B_HUMAN	reviewed	Transcription initiation factor IIB (General transcription factor TFIIB) (S300-II)	GTF2B TF2B TFIIB	Homo sapiens (Human)	316
Q7RTV0	PHF5A_HUMAN	reviewed	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)	PHF5A	Homo sapiens (Human)	110
Q9H9E3	COG4_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 4 (COG complex subunit 4) (Component of oligomeric Golgi complex 4)	COG4	Homo sapiens (Human)	785
O15160	RPAC1_HUMAN	reviewed	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40)	POLR1C POLR1E	Homo sapiens (Human)	346
Q9Y4C8	RBM19_HUMAN	reviewed	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	RBM19 KIAA0682	Homo sapiens (Human)	960
Q9BVI4	NOC4L_HUMAN	reviewed	Nucleolar complex protein 4 homolog (NOC4 protein homolog) (NOC4-like protein) (Nucleolar complex-associated protein 4-like protein)	NOC4L	Homo sapiens (Human)	516
O43929	ORC4_HUMAN	reviewed	Origin recognition complex subunit 4	ORC4 ORC4L	Homo sapiens (Human)	436
Q9BTT4	MED10_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Transformation-related gene 17 protein) (TRG-17) (Transformation-related gene 20 protein) (TRG-20)	MED10 L6 TRG17 TRG20	Homo sapiens (Human)	135
P56282	DPOE2_HUMAN	reviewed	DNA polymerase epsilon subunit 2 (EC 2.7.7.7) (DNA polymerase II subunit 2) (DNA polymerase epsilon subunit B)	POLE2 DPE2	Homo sapiens (Human)	527
O43172	PRP4_HUMAN	reviewed	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)	PRPF4 PRP4	Homo sapiens (Human)	522
Q9UBE0	SAE1_HUMAN	reviewed	"SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A) [Cleaved into: SUMO-activating enzyme subunit 1, N-terminally processed]"	SAE1 AOS1 SUA1 UBLE1A	Homo sapiens (Human)	346
Q9BUI4	RPC3_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C) (RNA polymerase III 62 kDa subunit) (RPC62)	POLR3C	Homo sapiens (Human)	534
P22570	ADRO_HUMAN	reviewed	"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)"	FDXR ADXR	Homo sapiens (Human)	491
Q9BV38	WDR18_HUMAN	reviewed	WD repeat-containing protein 18	WDR18	Homo sapiens (Human)	432
Q9Y324	FCF1_HUMAN	reviewed	rRNA-processing protein FCF1 homolog	FCF1 C14orf111 CGI-35	Homo sapiens (Human)	198
